PRM_RoC,sig6_pv, sig6_qv, sig6_ph, sig6_qh, sig56_pv, sig56_qv, sig56_ph, sig56_qh
1425,3.33066907387547e-16,-2.60902410786912e-15,-0.0656622136265205,-2.00492870981552,-3.2612801348364e-16,-2.33146835171283e-15,-0.144991495054666,-1.4426406203723
1426,-1.50920942409982e-16,-2.88657986402541e-15,-0.0636456729916904,-2.07675260965063,-3.40005801291454e-16,-1.94289029309402e-15,-0.130544235458295,-1.5234336025309
1427,-3.03576608295941e-16,-2.83106871279415e-15,-0.0480369458345267,-2.11505480175449,-8.32667268468867e-17,-2.38697950294409e-15,-0.11863960813818,-1.59865925852827
1428,-2.9316826744008e-16,-2.72004641033163e-15,-0.0308459870609857,-2.14788687203147,-1.6306400674182e-16,-2.33146835171283e-15,-0.113890586461266,-1.66151470411376
1429,-1.42247325030098e-16,-2.55351295663786e-15,-0.0196021892755843,-2.18815545922455,-2.94902990916057e-16,-2.16493489801906e-15,-0.117669298621712,-1.70587809417885
1430,1.70002900645727e-16,-2.55351295663786e-15,-0.0102607609128768,-2.21855532048003,-1.87350135405495e-16,-2.44249065417534e-15,-0.119448631184364,-1.72833726377224
1431,6.59194920871187e-17,-2.4980018054066e-15,-0.00630295579349066,-2.21999223857165,-3.22658566531686e-16,-2.22044604925031e-15,-0.112234576212364,-1.72506146427126
1432,9.71445146547012e-17,-2.66453525910038e-15,-0.00419122420712396,-2.20280982237868,-1.04083408558608e-16,-2.27595720048157e-15,-0.103393298978925,-1.70145128277657
1433,3.46944695195361e-17,-2.88657986402541e-15,-0.0031564413334993,-2.15780484500935,-6.24500451351651e-17,-2.4980018054066e-15,-0.0913510615291989,-1.65800800732629
1434,7.28583859910259e-17,-2.4980018054066e-15,-0.00542708021253943,-2.08771332526892,-4.85722573273506e-17,-2.4980018054066e-15,-0.0709969505965841,-1.59705030205091
1435,7.97972798949331e-17,-2.55351295663786e-15,-0.0148311373008217,-1.96975185868061,-2.08166817117217e-17,-2.22044604925031e-15,-0.0359993726523854,-1.52357471021457
