PRM_RoC,sig6MHz_circ_quad_1,sig6MHz_circ_quad_2,sig6MHz_circ_quad_3,sig6MHz_circ_quad_4,sig56MHz_circ_quad_1,sig56MHz_circ_quad_2,sig56MHz_circ_quad_3,sig56MHz_circ_quad_4
1425,-1.87350135405495e-16,-2.4980018054066e-15,-0.0654637366942764,-1.99886838712615,7.75204553327136e-17,-6.20163642661709e-17,-0.00228833039898485,0.00458796974245799
1426,-1.83880688453542e-16,-2.88657986402541e-15,-0.0634532899565804,-2.07047518462173,7.09610321891763e-17,-8.43509290193722e-17,-0.0019324642622678,0.00476264846458355
1427,1.49186218934005e-16,-2.88657986402541e-15,-0.0478917424954689,-2.10866159969291,6.28837260041593e-17,-5.50774703622636e-17,-0.00226436359047242,0.00467216174562145
1428,-1.99493199737333e-16,-3.05311331771918e-15,-0.0307527495091859,-2.14139442539065,6.45100292628875e-17,-7.0906822080552e-17,-0.00208912419226148,0.00470437966173982
1429,6.59194920871187e-17,-2.99760216648792e-15,-0.0195429385529867,-2.18154129530931,7.18826040357889e-17,-7.67615138119737e-17,-0.00199727054954593,0.0048207756775175
1430,-5.20417042793042e-17,-2.72004641033163e-15,-0.010229744989754,-2.21184926245678,7.5839941965361e-17,-8.71698546678346e-17,-0.00195907807163263,0.00477876056415658
1431,8.32667268468867e-17,-2.83106871279415e-15,-0.00628390408692003,-2.2132818361488,7.63278329429795e-17,-6.96057794735694e-17,-0.00201651171984139,0.00485598277900884
1432,2.0122792321331e-16,-2.55351295663786e-15,-0.00417855550343725,-2.19615135443741,5.95226992694542e-17,-6.61363325216158e-17,-0.00209971571884769,0.0048209999390159
1433,-7.63278329429795e-17,-2.77555756156289e-15,-0.0031469005819263,-2.15128241077775,9.04224611852911e-17,-7.34004870772687e-17,-0.00227505122561456,0.00493639921746007
1434,-8.67361737988404e-17,-2.60902410786912e-15,-0.00541067653279205,-2.0814027572659,6.93889390390723e-17,-6.92805188218237e-17,-0.00214336873394964,0.00475911761415258
1435,-5.20417042793042e-17,-2.55351295663786e-15,-0.0147863056403851,-1.96379785171646,8.04478011984244e-17,-6.67868538251071e-17,-0.00198586056109619,0.00488877726051666
