PRM_RoC,sig6MHz_circ_quad_1,sig6MHz_circ_quad_2,sig6MHz_circ_quad_3,sig6MHz_circ_quad_4,sig8MHz_circ_quad_1,sig8MHz_circ_quad_2,sig8MHz_circ_quad_3,sig8MHz_circ_quad_4,sig56MHz_circ_quad_1,sig56MHz_circ_quad_2,sig56MHz_circ_quad_3,sig56MHz_circ_quad_4
1425,-1.87350135405495e-16,-2.4980018054066e-15,-0.0654637366942764,-1.99886838712615,6.39679281766448e-17,-6.78710559975926e-17,-0.00229526847520479,0.00460188032215968,-2.08166817117217e-17,-2.35922392732846e-15,-0.144116284425786,-1.43393242404783
1426,-1.83880688453542e-16,-2.88657986402541e-15,-0.0634532899565804,-2.07047518462173,6.78710559975926e-17,-6.67868538251071e-17,-0.00193832349748118,0.00477708865222034,-3.19189119579733e-16,-2.4980018054066e-15,-0.129756232669323,-1.51423771637787
1427,1.49186218934005e-16,-2.88657986402541e-15,-0.0478917424954689,-2.10866159969291,6.80878964320897e-17,-6.93889390390723e-17,-0.00227122894903149,0.00468632730423234,-1.87350135405495e-16,-2.38697950294409e-15,-0.117923465125137,-1.58900928853665
1428,-1.99493199737333e-16,-3.05311331771918e-15,-0.0307527495091859,-2.14139442539065,6.86299975183324e-17,-8.26162055433954e-17,-0.00209545795863019,0.00471864309047953,-6.24500451351651e-17,-2.16493489801906e-15,-0.113203109918596,-1.65148532046819
1429,6.59194920871187e-17,-2.99760216648792e-15,-0.0195429385529867,-2.18154129530931,6.91720986045752e-17,-7.89299181569447e-17,-0.00200332547652082,0.00483539162661646,-2.32452945780892e-16,-2.4980018054066e-15,-0.116959012678285,-1.69558092026906
1430,-5.20417042793042e-17,-2.72004641033163e-15,-0.010229744989754,-2.21184926245678,7.96888596776846e-17,-8.30498864123896e-17,-0.00196501725205569,0.00479324924481262,-5.55111512312578e-17,-2.4980018054066e-15,-0.11872760467428,-1.7179045198142
1431,8.32667268468867e-17,-2.83106871279415e-15,-0.00628390408692003,-2.2132818361488,6.92805188218237e-17,-7.50267903359969e-17,-0.0020226253026028,0.00487070540460575,-2.56739074444567e-16,-2.4980018054066e-15,-0.1115570958262,-1.71464849398764
1432,2.0122792321331e-16,-2.55351295663786e-15,-0.00417855550343725,-2.19615135443741,6.39679281766448e-17,-6.67868538251071e-17,-0.00210608150462362,0.00483561646403767,1.04083408558608e-16,-2.4980018054066e-15,-0.102769187101343,-1.69118083038272
1433,-7.63278329429795e-17,-2.77555756156289e-15,-0.0031469005819263,-2.15128241077775,6.11490025281825e-17,-6.72205346941013e-17,-0.00228194884935668,0.00495136580373645,-5.55111512312578e-17,-2.33146835171283e-15,-0.090799640081744,-1.64799979111497
1434,-8.67361737988404e-17,-2.60902410786912e-15,-0.00541067653279205,-2.0814027572659,7.63278329429795e-17,-7.43762690325056e-17,-0.00214986728315282,0.00477354726763014,-3.46944695195361e-17,-2.33146835171283e-15,-0.0705683924541042,-1.58741004419238
1435,-5.20417042793042e-17,-2.55351295663786e-15,-0.0147863056403851,-1.96379785171646,5.96311194867027e-17,-6.59194920871187e-17,-0.00199188125837886,0.00490359974928321,0,-2.22044604925031e-15,-0.0357820700196764,-1.51437797229494
