PRM_tilt,sig8MHz_ref_1,sig8MHz_ref_2,sig6MHz_circ_1,sig6MHz_circ_2,sig56MHz_circ_1,sig56MHz_circ_2,sig56MHz_DP_1,sig56MHz_DP_2
-1e-07,-2.96233454165205e-05,-0.000690008679316697,0.0346393861135143,0.341487589573988,0.0327450912173828,0.150508574168681,-2.5351593129917e-06,-2.88032776600015e-06
-9e-08,-3.04547621912654e-05,-0.000676109122006218,0.0280822708931477,0.316478981299392,0.018790989522911,0.161923113933859,-3.15152571888528e-06,-2.75247158434005e-06
-8e-08,-3.10041243319624e-05,-0.000645150565986763,0.0196016113756214,0.288673842265398,0.00248389397325526,0.170482405383545,-3.10812738292477e-06,-2.35153376854096e-06
-7e-08,-2.97975472758315e-05,-0.000592385311047003,0.0099925310227676,0.262400351838551,-0.0114333126026439,0.174528100537503,-2.03351679140352e-06,-1.76938490954875e-06
-6e-08,-2.63744386467233e-05,-0.000514117869203587,0.00202879310979741,0.239579059650664,-0.0211381614559689,0.17364729407505,6.78346984441518e-07,-9.81208512671429e-07
-5e-08,-2.07748402755834e-05,-0.000411506522246969,-0.00317860110930836,0.219595510969387,-0.0247904196877101,0.166235213643789,5.47680298159534e-06,-1.03152395813067e-07
-4e-08,-1.43704612139382e-05,-0.000293648199532702,-0.00562712582086278,0.196248961005723,-0.0221934292654133,0.149132571655612,1.22324515914783e-05,6.86806746965943e-07
-3e-08,-8.22615535192166e-06,-0.000176295298849554,-0.00415594663854021,0.16278682669215,-0.0156063593349037,0.121777059452002,1.98740084102956e-05,1.24497333852299e-06
-2e-08,-3.18103521649245e-06,-7.68849959915988e-05,-0.000367930494338544,0.117998350978738,-0.00819782072941193,0.0889695097229029,2.65506498649784e-05,1.40241878037422e-06
-1e-08,-4.1765393878779e-07,-1.32361914929153e-05,0.00231198852834351,0.0779868141839238,-0.00273546817027791,0.0612135209487305,3.07217762574318e-05,1.28900391795654e-06
0,8.27836625005208e-07,1.35582883603453e-06,-0.000256812457003606,0.0596629750445238,-0.000229203376096974,0.0504413272656494,3.21003356537178e-05,1.09799445496257e-06
1e-08,-4.17653938714311e-07,-1.32361914893377e-05,0.00231198851994361,0.0779868141838409,-0.00273546815659392,0.0612135209478533,3.07217762525843e-05,1.2890039177881e-06
2e-08,-3.18103521651666e-06,-7.68849959779482e-05,-0.000367930492461035,0.117998350978621,-0.00819782072989256,0.0889695097232166,2.65506498630093e-05,1.40241878030455e-06
3e-08,-8.22615535096152e-06,-0.000176295298819511,-0.00415594663794875,0.162786826692318,-0.0156063593343151,0.12177705945237,1.98740084081714e-05,1.24497333845756e-06
4e-08,-1.43704612163694e-05,-0.000293648199584925,-0.00562712582014791,0.196248961005512,-0.0221934292633737,0.149132571655482,1.22324515928939e-05,6.86806746991521e-07
5e-08,-2.07748402765732e-05,-0.000411506522263445,-0.00317860110942402,0.219595510969385,-0.0247904196884482,0.166235213643851,5.4768029811167e-06,-1.03152395825091e-07
6e-08,-2.63744386443607e-05,-0.000514117869149786,0.00202879311079392,0.239579059650356,-0.0211381614561353,0.173647294074849,6.783469874219e-07,-9.81208512581281e-07
7e-08,-2.97975472774423e-05,-0.000592385311090138,0.00999253102200205,0.26240035183875,-0.011433312602508,0.174528100537747,-2.03351679286068e-06,-1.76938490960904e-06
8e-08,-3.1004124330144e-05,-0.000645150565931925,0.0196016113750102,0.288673842265062,0.002483893973809,0.170482405383069,-3.10812738001238e-06,-2.35153376842292e-06
9e-08,-3.04547621900618e-05,-0.000676109121983631,0.0280822708936396,0.316478981299265,0.0187909895230585,0.161923113933518,-3.15152571735804e-06,-2.75247158426392e-06
1e-07,-2.96233454165123e-05,-0.000690008679319584,0.0346393861135822,0.341487589574101,0.0327450912165707,0.150508574168679,-2.53515931684132e-06,-2.88032776623768e-06
